class (1=건전/0=부도),outx9ln,outx10ln,outx13,outx14,outx15,outx18,outx19,outx21,outx23,outx25,outx27,outx28,outx29,outx31,outx32,outx33,outx34,outx35,outx36,outx37,outx38,outx39,outx41,outx42,outx43,outx44,outx46,outx47,outx49,outx50,outx52,outx53,outx55,outx56,outx59,outx60,outx61,outx62,outx66,outx67,outx69,outx70,outx73
1,8.187855444,6.936342736,14.966,14.762,10.235,44.079,28.534,8.062,74.277,0.861,77.814,108.193,5.476,1.131,3.012,0.952,0.776,270.306,85.425,36.937,123.809,21.197,132.79,64.645,5.737,25.783,65.672,72.866,3.373,26.843,0.235,0.61,1.727,1.013,-4.12,-3.646,-0.372,-0.603,-13.436,-1.372,-13.277,-1.2,0.803
0,8.488793717,6.456769656,28.451,19.567,-15.375,32.452,31.154,4.485,56.647,1.008,84.732,107.341,3.868,1.293,7.692,1.687,1.291,114.819,25.827,83.518,84.353,6.432,112.93,49.749,6.248,16.794,43.791,34.176,1.508,4.544,0.057,0.091,15.779,1.454,45.755,24.081,3.486,2.399,17.173,2.486,-26.068,-1.986,1.174
1,9.243194709,7.437795122,24.013,24.956,12.155,73.569,45.85,6.28,61.601,0.145,80.685,100.426,6.125,1.046,0.882,0.266,0.117,96.697,33.57,52.809,106.583,-1.726,96.603,50.835,6.552,13.332,58.534,72.179,0.148,3.912,-0.009,0.238,5.146,0.962,1.716,1.159,0.197,-0.004,-4.717,-0.802,-50.127,-5.761,-0.303
1,8.724369949,6.11146734,32.691,12.55,10.948,-12.532,-12.653,1.381,117.673,2.129,87.546,88.318,0.91,2.929,29.046,7.493,5.949,111.389,95.686,1,0,2.27,102.918,77.792,13.669,20.481,40.009,14.322,-0.115,9.242,0.001,0.186,3.398,2.604,-26.674,-13.42,-2.764,8.976,-18.275,-3.764,-40.749,-4.223,0.105
1,8.861066544,7.784057003,33.745,40.442,0.843,5.26,16.816,8.678,82.905,4.622,53.516,95.8,4.963,1.781,13.572,4.853,3.579,133.666,52.417,78.729,175.875,13.692,130.004,45.635,23.081,26.375,48.138,62.166,1.142,5.761,0.077,0.391,3.578,0.834,8.964,5.861,0.642,1.933,-3.266,-0.357,-26.049,-1.866,1.196
0,6.892641641,-4.890349128,60.455,28.324,1.337,800,-23.855,2.741,78.9,4.162,87.411,83.952,2.741,2.518,-30.827,10.275,10.275,-98,96,68.88,84.061,-37.092,71.916,126,10.025,-33.333,31.328,12.69,0.374,3.192,0.036,0.089,197,2.134,279.2,65.601,12.925,12.74,60.526,11.925,257.6,11.925,1.703
0,6.820016365,5.945420609,40.843,20.087,42.015,-54.054,66.568,0.218,415.189,5.786,89.737,75.199,0.218,27.5,13.874,9.413,9.413,193.908,100,190.607,369.892,32.859,202.209,32.149,9.413,67.85,15.097,9.279,0.218,11.668,0.144,0.19,33.925,2.033,-158.823,-72,-32,-33,-75.69,-33,-170.588,-72.5,18.5
0,6.079933195,5.493061443,58.517,33.409,36.99,-100,53.299,1.601,57.947,6.407,82.837,86.387,1.601,5,11.522,9.271,9.271,142.564,0,445.833,706.666,27.483,445.833,7.947,9.271,80.463,11.589,8.009,1.601,41.619,0.144,0.156,41.619,1.751,-14.285,-8.474,-0.714,-2.571,-20.338,-1.714,-180,-9,2.857
0,7.053585727,5.455321115,59.297,29.904,32.228,20,94.696,3.37,78.219,5.099,85.911,83.315,3.284,2.512,25.213,7.652,7.652,375,4.166,169.759,154.263,45.654,220.962,37.743,7.652,30.35,31.128,20.743,0.742,5.483,0.165,0.142,42.072,1.982,-37.5,-16.759,-2.307,-0.666,-24.022,-3.307,-62.5,-3.846,2.692
1,8.800565992,6.228511004,34.165,28.864,15.203,40.369,4.933,8.059,60.333,0.903,75.489,102.428,6.643,1.112,11.834,1.253,1.044,267.452,43.352,59.798,48.352,10.656,117.611,60.508,1.863,8.828,53.177,46.007,-0.444,3.391,0.034,0.12,3.925,1.183,34.905,20.359,1.992,2.115,10.141,0.992,14.571,0.831,0.884
